,C,Precision,Recall,Fscore
460,46.0,0.7271,0.7162,0.7205
461,46.1,0.7271,0.7162,0.7205
462,46.2,0.7271,0.7162,0.7205
463,46.3,0.7284,0.7162,0.721
464,46.4,0.7267,0.7145,0.7193
465,46.5,0.7271,0.7162,0.7205
466,46.6,0.7267,0.7145,0.7193
467,46.7,0.7267,0.7145,0.7193
468,46.8,0.7254,0.7145,0.7188
469,46.9,0.7267,0.7145,0.7193
470,47.0,0.7267,0.7145,0.7193
471,47.1,0.7267,0.7145,0.7193
472,47.2,0.7267,0.7145,0.7193
473,47.3,0.7267,0.7145,0.7193
474,47.4,0.7267,0.7145,0.7193
475,47.5,0.7262,0.7129,0.7182
476,47.6,0.7262,0.7129,0.7182
477,47.7,0.7262,0.7129,0.7182
478,47.8,0.7262,0.7129,0.7182
479,47.9,0.7262,0.7129,0.7182
480,48.0,0.7262,0.7129,0.7182
481,48.1,0.7262,0.7129,0.7182
482,48.2,0.7262,0.7129,0.7182
483,48.3,0.7262,0.7129,0.7182
484,48.4,0.7262,0.7129,0.7182
485,48.5,0.7262,0.7129,0.7182
486,48.6,0.7262,0.7129,0.7182
487,48.7,0.7262,0.7129,0.7182
488,48.8,0.7262,0.7129,0.7182
489,48.9,0.7262,0.7129,0.7182
490,49.0,0.725,0.7129,0.7177
491,49.1,0.725,0.7129,0.7177
492,49.2,0.725,0.7129,0.7177
493,49.3,0.7262,0.7129,0.7182
494,49.4,0.725,0.7129,0.7177
495,49.5,0.725,0.7129,0.7177
496,49.6,0.725,0.7129,0.7177
497,49.7,0.7262,0.7129,0.7182
498,49.8,0.7262,0.7129,0.7182
499,49.9,0.7262,0.7129,0.7182
