C,Precision,Recall,Fscore
43.8,0.8224,0.6728,0.7256
43.9,0.8224,0.6728,0.7256
44,0.8224,0.6728,0.7256
44.1,0.8224,0.6728,0.7256
44.2,0.8224,0.6728,0.7256
44.3,0.8224,0.6728,0.7256
44.5,0.8224,0.6728,0.7256
44.6,0.8224,0.6728,0.7256
44.7,0.8224,0.6728,0.7256
44.8,0.8224,0.6728,0.7256
44.9,0.8224,0.6728,0.7256
45,0.8224,0.6728,0.7256
45.2,0.8224,0.6728,0.7256
45.3,0.8224,0.6728,0.7256
45.5,0.8224,0.6728,0.7256
45.6,0.8224,0.6728,0.7256
45.7,0.8224,0.6728,0.7256
45.8,0.8224,0.6728,0.7256
45.9,0.8224,0.6728,0.7256
46,0.8224,0.6728,0.7256
46.1,0.8224,0.6728,0.7256
46.2,0.8224,0.6728,0.7256
46.3,0.8224,0.6728,0.7256
46.4,0.8224,0.6728,0.7256
46.5,0.8224,0.6728,0.7256
46.6,0.8224,0.6728,0.7256
46.7,0.8224,0.6728,0.7256
47,0.8224,0.6728,0.7256
47.1,0.8224,0.6728,0.7256
47.2,0.8224,0.6728,0.7256
47.3,0.8224,0.6728,0.7256
47.4,0.8224,0.6728,0.7256
47.5,0.8224,0.6728,0.7256
47.6,0.8224,0.6728,0.7256
47.7,0.8224,0.6728,0.7256
47.8,0.8224,0.6728,0.7256
47.9,0.8224,0.6728,0.7256
48,0.8224,0.6728,0.7256
48.1,0.8224,0.6728,0.7256
48.2,0.8224,0.6728,0.7256
48.3,0.8224,0.6728,0.7256
48.5,0.8224,0.6728,0.7256
48.6,0.8224,0.6728,0.7256
48.7,0.8224,0.6728,0.7256
48.8,0.8224,0.6728,0.7256
48.9,0.8224,0.6728,0.7256
49,0.8224,0.6728,0.7256
49.1,0.8224,0.6728,0.7256
49.2,0.8224,0.6728,0.7256
49.3,0.8224,0.6728,0.7256
49.4,0.8224,0.6728,0.7256
49.5,0.8224,0.6728,0.7256
49.6,0.8224,0.6728,0.7256
49.7,0.8224,0.6728,0.7256
49.8,0.8224,0.6728,0.7256
49.9,0.8224,0.6728,0.7256
17.4,0.8208,0.6728,0.7251
17.9,0.8208,0.6728,0.7251
18.1,0.8208,0.6728,0.7251
18.2,0.8208,0.6728,0.7251
18.5,0.8208,0.6728,0.7251
18.6,0.8208,0.6728,0.7251
18.9,0.8208,0.6728,0.7251
19.1,0.8208,0.6728,0.7251
19.2,0.8208,0.6728,0.7251
21,0.8208,0.6728,0.7251
21.3,0.8208,0.6728,0.7251
21.4,0.8208,0.6728,0.7251
21.5,0.8208,0.6728,0.7251
22,0.8208,0.6728,0.7251
22.6,0.8208,0.6728,0.7251
22.9,0.8208,0.6728,0.7251
23.6,0.8208,0.6728,0.7251
23.9,0.8208,0.6728,0.7251
24.2,0.8208,0.6728,0.7251
24.6,0.8208,0.6728,0.7251
25.6,0.8208,0.6728,0.7251
26,0.8208,0.6728,0.7251
26.1,0.8208,0.6728,0.7251
26.2,0.8208,0.6728,0.7251
26.3,0.8208,0.6728,0.7251
26.7,0.8208,0.6728,0.7251
26.9,0.8208,0.6728,0.7251
27,0.8208,0.6728,0.7251
27.1,0.8208,0.6728,0.7251
27.2,0.8208,0.6728,0.7251
27.6,0.8208,0.6728,0.7251
27.7,0.8208,0.6728,0.7251
27.8,0.8208,0.6728,0.7251
27.9,0.8208,0.6728,0.7251
28,0.8208,0.6728,0.7251
28.1,0.8208,0.6728,0.7251
28.5,0.8208,0.6728,0.7251
28.8,0.8208,0.6728,0.7251
28.9,0.8208,0.6728,0.7251
29.1,0.8208,0.6728,0.7251
29.3,0.8208,0.6728,0.7251
29.4,0.8208,0.6728,0.7251
29.6,0.8208,0.6728,0.7251
29.7,0.8208,0.6728,0.7251
29.8,0.8208,0.6728,0.7251
30,0.8208,0.6728,0.7251
30.8,0.8208,0.6728,0.7251
31.1,0.8208,0.6728,0.7251
31.3,0.8208,0.6728,0.7251
31.5,0.8208,0.6728,0.7251
31.7,0.8208,0.6728,0.7251
32.3,0.8208,0.6728,0.7251
32.5,0.8208,0.6728,0.7251
32.8,0.8208,0.6728,0.7251
33.2,0.8208,0.6728,0.7251
33.8,0.8208,0.6728,0.7251
40.3,0.8221,0.6711,0.7243
43.4,0.8221,0.6711,0.7243
43.7,0.8221,0.6711,0.7243
45.4,0.8221,0.6711,0.7243
46.8,0.8221,0.6711,0.7243
46.9,0.8221,0.6711,0.7243
48.4,0.8221,0.6711,0.7243
