,C,Precision,Recall,Fscore
383,0.383,0.6667,0.6043,0.6278
384,0.384,0.6673,0.6027,0.627
385,0.385,0.6661,0.6027,0.6266
386,0.386,0.6698,0.5993,0.6256
387,0.387,0.6723,0.6027,0.6287
388,0.388,0.6704,0.601,0.627
389,0.389,0.6711,0.596,0.6239
390,0.39,0.6698,0.5993,0.6256
391,0.391,0.6704,0.5977,0.6248
392,0.392,0.6698,0.596,0.6235
393,0.393,0.6717,0.5943,0.623
394,0.394,0.671,0.5993,0.6261
395,0.395,0.6723,0.596,0.6243
396,0.396,0.6717,0.5943,0.623
397,0.397,0.6698,0.596,0.6235
398,0.398,0.6717,0.5977,0.6253
399,0.399,0.6698,0.596,0.6235
400,0.4,0.6717,0.5943,0.623
401,0.401,0.6711,0.5927,0.6218
402,0.402,0.6711,0.5927,0.6218
403,0.403,0.6705,0.591,0.6204
404,0.404,0.6711,0.5927,0.6218
405,0.405,0.6717,0.5943,0.623
406,0.406,0.6711,0.5927,0.6218
407,0.407,0.6723,0.596,0.6243
408,0.408,0.6723,0.596,0.6243
409,0.409,0.6723,0.596,0.6243
410,0.41,0.6711,0.5927,0.6218
411,0.411,0.6723,0.596,0.6243
412,0.412,0.6704,0.5977,0.6248
413,0.413,0.6654,0.601,0.6252
414,0.414,0.6692,0.5977,0.6244
415,0.415,0.6711,0.596,0.6239
416,0.416,0.6654,0.601,0.6252
417,0.417,0.6704,0.5977,0.6248
418,0.418,0.6704,0.5977,0.6248
419,0.419,0.6711,0.596,0.6239
420,0.42,0.6704,0.5977,0.6248
421,0.421,0.6692,0.5943,0.6222
422,0.422,0.6685,0.596,0.623
423,0.423,0.6711,0.5927,0.6218
424,0.424,0.6704,0.5943,0.6226
425,0.425,0.6711,0.5927,0.6218
426,0.426,0.6704,0.5977,0.6248
427,0.427,0.6698,0.596,0.6235
428,0.428,0.6692,0.5943,0.6222
429,0.429,0.6692,0.5943,0.6222
430,0.43,0.6685,0.5927,0.6209
431,0.431,0.6692,0.5977,0.6244
432,0.432,0.6692,0.5943,0.6222
433,0.433,0.6692,0.5943,0.6222
434,0.434,0.6711,0.596,0.6239
435,0.435,0.6692,0.5977,0.6244
436,0.436,0.6692,0.5943,0.6222
437,0.437,0.6673,0.5927,0.6204
438,0.438,0.6673,0.5927,0.6204
439,0.439,0.6673,0.5927,0.6204
440,0.44,0.6685,0.5927,0.6209
