,C,Precision,Recall,Fscore
404,0.404,0.8124,0.7446,0.7703
405,0.405,0.8124,0.7446,0.7703
406,0.406,0.8124,0.7446,0.7703
407,0.407,0.8139,0.7446,0.7709
408,0.408,0.8139,0.7446,0.7709
409,0.409,0.8139,0.7446,0.7709
410,0.41,0.8139,0.7446,0.7709
411,0.411,0.8139,0.7446,0.7709
412,0.412,0.8139,0.7446,0.7709
413,0.413,0.8139,0.7446,0.7709
414,0.414,0.8139,0.7446,0.7709
415,0.415,0.8139,0.7446,0.7709
416,0.416,0.8139,0.7446,0.7709
417,0.417,0.8139,0.7446,0.7709
418,0.418,0.8139,0.7446,0.7709
419,0.419,0.8139,0.7446,0.7709
420,0.42,0.8139,0.7446,0.7709
421,0.421,0.8139,0.7446,0.7709
422,0.422,0.8139,0.7446,0.7709
423,0.423,0.8139,0.7446,0.7709
424,0.424,0.8139,0.7446,0.7709
425,0.425,0.8139,0.7446,0.7709
426,0.426,0.8139,0.7446,0.7709
427,0.427,0.8135,0.7429,0.7696
428,0.428,0.8135,0.7429,0.7696
429,0.429,0.815,0.7429,0.7702
430,0.43,0.8165,0.7429,0.7707
431,0.431,0.8165,0.7429,0.7707
432,0.432,0.8165,0.7429,0.7707
433,0.433,0.8165,0.7429,0.7707
434,0.434,0.8165,0.7429,0.7707
435,0.435,0.8165,0.7429,0.7707
436,0.436,0.8165,0.7429,0.7707
437,0.437,0.8165,0.7429,0.7707
438,0.438,0.8165,0.7429,0.7707
439,0.439,0.8165,0.7429,0.7707
440,0.44,0.8165,0.7429,0.7707
441,0.441,0.8165,0.7429,0.7707
442,0.442,0.8165,0.7429,0.7707
443,0.443,0.8165,0.7429,0.7707
444,0.444,0.8165,0.7429,0.7707
445,0.445,0.8165,0.7429,0.7707
446,0.446,0.8165,0.7429,0.7707
447,0.447,0.8165,0.7429,0.7707
448,0.448,0.8165,0.7429,0.7707
449,0.449,0.8165,0.7429,0.7707
450,0.45,0.8165,0.7429,0.7707
451,0.451,0.8165,0.7429,0.7707
452,0.452,0.8165,0.7429,0.7707
453,0.453,0.8165,0.7429,0.7707
454,0.454,0.8165,0.7429,0.7707
455,0.455,0.8165,0.7429,0.7707
456,0.456,0.8165,0.7429,0.7707
457,0.457,0.8165,0.7429,0.7707
458,0.458,0.8165,0.7429,0.7707
459,0.459,0.8165,0.7429,0.7707
460,0.46,0.8165,0.7429,0.7707
461,0.461,0.815,0.7429,0.7702
462,0.462,0.8154,0.7446,0.7714
463,0.463,0.8147,0.7412,0.7689
464,0.464,0.815,0.7429,0.7702
465,0.465,0.815,0.7429,0.7702
466,0.466,0.8154,0.7446,0.7714
467,0.467,0.8147,0.7412,0.7689
468,0.468,0.8147,0.7412,0.7689
469,0.469,0.8147,0.7412,0.7689
470,0.47,0.815,0.7429,0.7702
471,0.471,0.8147,0.7412,0.7689
472,0.472,0.815,0.7429,0.7702
473,0.473,0.815,0.7429,0.7702
474,0.474,0.8147,0.7412,0.7689
475,0.475,0.815,0.7429,0.7702
476,0.476,0.815,0.7429,0.7702
477,0.477,0.815,0.7429,0.7702
