,C,Precision,Recall,Fscore
355,35.5,0.6619,0.7746,0.7252
356,35.6,0.6619,0.7746,0.7252
357,35.7,0.6605,0.7763,0.7254
358,35.8,0.6605,0.7763,0.7254
359,35.9,0.6586,0.7763,0.7245
360,36.0,0.6591,0.778,0.7256
361,36.1,0.6596,0.7796,0.7267
362,36.2,0.6582,0.778,0.7252
363,36.3,0.6582,0.778,0.7252
364,36.4,0.6577,0.7796,0.7258
365,36.5,0.6577,0.7796,0.7258
366,36.6,0.6577,0.7796,0.7258
367,36.7,0.6577,0.7796,0.7258
368,36.8,0.6582,0.7813,0.7269
369,36.9,0.6582,0.7813,0.7269
370,37.0,0.6582,0.7813,0.7269
371,37.1,0.6582,0.7813,0.7269
372,37.2,0.6577,0.7796,0.7258
373,37.3,0.6577,0.7796,0.7258
374,37.4,0.6577,0.7796,0.7258
375,37.5,0.6577,0.7796,0.7258
376,37.6,0.6577,0.7796,0.7258
377,37.7,0.6577,0.7796,0.7258
378,37.8,0.6568,0.7796,0.7254
379,37.9,0.6568,0.7796,0.7254
380,38.0,0.6568,0.7796,0.7254
381,38.1,0.655,0.7796,0.7245
382,38.2,0.655,0.7796,0.7245
383,38.3,0.655,0.7796,0.7245
384,38.4,0.6541,0.7796,0.724
385,38.5,0.6541,0.7796,0.724
386,38.6,0.6541,0.7796,0.724
387,38.7,0.6541,0.7796,0.724
388,38.8,0.6541,0.7796,0.724
389,38.9,0.6522,0.7796,0.7231
390,39.0,0.6522,0.7796,0.7231
391,39.1,0.6513,0.7796,0.7227
392,39.2,0.6518,0.7813,0.7238
393,39.3,0.6518,0.7813,0.7238
394,39.4,0.6509,0.7813,0.7233
395,39.5,0.6509,0.7813,0.7233
396,39.6,0.6509,0.7813,0.7233
397,39.7,0.6509,0.7813,0.7233
398,39.8,0.65,0.7813,0.7229
399,39.9,0.6509,0.7813,0.7233
400,40.0,0.6509,0.7813,0.7233
401,40.1,0.65,0.7813,0.7229
402,40.2,0.65,0.7813,0.7229
403,40.3,0.6496,0.783,0.7236
404,40.4,0.6478,0.783,0.7227
405,40.5,0.646,0.783,0.7218
406,40.6,0.6465,0.7846,0.7228
407,40.7,0.6465,0.7846,0.7228
408,40.8,0.6465,0.7846,0.7228
409,40.9,0.6465,0.7846,0.7228
410,41.0,0.6456,0.7846,0.7224
411,41.1,0.6456,0.7846,0.7224
412,41.2,0.6447,0.7846,0.7219
413,41.3,0.6456,0.7846,0.7224
414,41.4,0.6434,0.7863,0.7221
415,41.5,0.6426,0.7863,0.7217
416,41.6,0.6417,0.7863,0.7213
417,41.7,0.6408,0.7863,0.7208
418,41.8,0.6399,0.7863,0.7204
419,41.9,0.6391,0.7863,0.72
420,42.0,0.6382,0.7863,0.7195
421,42.1,0.6382,0.7863,0.7195
422,42.2,0.6382,0.7863,0.7195
423,42.3,0.6382,0.7863,0.7195
424,42.4,0.6382,0.7863,0.7195
425,42.5,0.6373,0.7863,0.7191
426,42.6,0.6373,0.7863,0.7191
427,42.7,0.6382,0.7863,0.7195
428,42.8,0.6382,0.7863,0.7195
429,42.9,0.6382,0.7863,0.7195
430,43.0,0.6382,0.7863,0.7195
431,43.1,0.6373,0.7863,0.7191
432,43.2,0.6365,0.7863,0.7186
433,43.3,0.6365,0.7863,0.7186
434,43.4,0.6339,0.7863,0.7173
435,43.5,0.6339,0.7863,0.7173
436,43.6,0.6353,0.788,0.7189
437,43.7,0.6349,0.7896,0.7195
438,43.8,0.634,0.7896,0.719
439,43.9,0.634,0.7896,0.719
440,44.0,0.634,0.7896,0.719
441,44.1,0.6327,0.788,0.7175
442,44.2,0.6327,0.788,0.7175
443,44.3,0.6327,0.788,0.7175
444,44.4,0.6327,0.788,0.7175
445,44.5,0.6319,0.788,0.7171
446,44.6,0.6319,0.788,0.7171
447,44.7,0.6319,0.788,0.7171
448,44.8,0.631,0.788,0.7167
449,44.9,0.631,0.788,0.7167
450,45.0,0.631,0.788,0.7167
451,45.1,0.6302,0.788,0.7163
452,45.2,0.6302,0.788,0.7163
453,45.3,0.6302,0.788,0.7163
454,45.4,0.6302,0.788,0.7163
455,45.5,0.6302,0.788,0.7163
456,45.6,0.6285,0.788,0.7154
457,45.7,0.629,0.7896,0.7164
458,45.8,0.6282,0.7896,0.716
459,45.9,0.6282,0.7896,0.716
460,46.0,0.6282,0.7896,0.716
461,46.1,0.6286,0.7913,0.7171
462,46.2,0.6286,0.7913,0.7171
463,46.3,0.6296,0.7947,0.7193
