,C,Precision,Recall,Fscore
466,0.466,0.8096,0.7028,0.742
467,0.467,0.8096,0.7028,0.742
468,0.468,0.8096,0.7028,0.742
469,0.469,0.8096,0.7028,0.742
470,0.47,0.8096,0.7028,0.742
471,0.471,0.8096,0.7028,0.742
472,0.472,0.8096,0.7028,0.742
473,0.473,0.8096,0.7028,0.742
474,0.474,0.8096,0.7028,0.742
475,0.475,0.8096,0.7028,0.742
476,0.476,0.8096,0.7028,0.742
477,0.477,0.8096,0.7028,0.742
478,0.478,0.8096,0.7028,0.742
479,0.479,0.8081,0.7028,0.7414
480,0.48,0.8081,0.7028,0.7414
481,0.481,0.8081,0.7028,0.7414
482,0.482,0.8081,0.7028,0.7414
483,0.483,0.8081,0.7028,0.7414
484,0.484,0.8081,0.7028,0.7414
485,0.485,0.8081,0.7028,0.7414
486,0.486,0.8081,0.7028,0.7414
487,0.487,0.8077,0.7012,0.7402
488,0.488,0.8077,0.7012,0.7402
489,0.489,0.8081,0.7028,0.7414
490,0.49,0.8077,0.7012,0.7402
491,0.491,0.8084,0.7045,0.7427
492,0.492,0.8077,0.7012,0.7402
493,0.493,0.8077,0.7012,0.7402
494,0.494,0.8081,0.7028,0.7414
495,0.495,0.8077,0.7012,0.7402
496,0.496,0.8081,0.7028,0.7414
497,0.497,0.8081,0.7028,0.7414
498,0.498,0.8077,0.7012,0.7402
499,0.499,0.8081,0.7028,0.7414
